type,month,site,file_name,blade_num,prevelance,severity,lesion_area,healthy_area,correct_num
Final,July,C,In Situ Final July_C7.2.tif,0,0,0,0,3004.083926,FALSE
Final,July,C,In Situ Final July_C12.tif,0,1,17.14515679,1596.907062,7717.134689,FALSE
Final,July,C,In Situ Final July_C13.tif,0,1,2.320057061,166.3647104,7004.351613,FALSE
Final,July,C,In Situ Final July_C7.1.tif,0,1,10.11865665,2332.476746,20718.77231,FALSE
Final,July,C,In Situ Final July_C11.tif,0,1,7.038980439,945.5858048,12487.97624,FALSE
Final,July,C,In Situ Final July_C10.tif,0,1,3.158624646,398.1553005,12207.18231,FALSE
Final,July,C,In Situ Final July_C9.tif,0,1,0.426051273,25.6360576,5991.493629,FALSE
Final,July,C,In Situ Final July_C14.tif,0,1,8.089610721,1313.767053,14926.40937,FALSE
Final,July,C,In Situ Final July_C28.tif,0,1,22.12636789,3907.339674,13751.86085,FALSE
Final,July,C,In Situ Final July_C29.tif,0,1,22.939363,4452.355787,14956.8832,FALSE
Final,July,C,In Situ Final July_C15.tif,0,1,9.335731658,231.866096,2251.775299,FALSE
Final,July,C,In Situ Final July_C8.tif,0,1,6.915705698,1476.985683,19879.99143,FALSE
Final,July,C,In Situ Final July_C17.tif,0,1,10.57614118,1926.416694,16288.32403,FALSE
Final,July,C,In Situ Final July_C16.tif,0,1,11.31150714,954.9449434,7487.298264,FALSE
Final,July,C,In Situ Final July_C6.tif,0,1,7.680480116,836.4959302,10054.6973,FALSE
Final,July,C,In Situ Final July_C27.tif,0,1,0.134993884,10.2831872,7607.23762,FALSE
Final,July,C,In Situ Final July_C5.tif,0,1,0.607999439,61.15260416,9996.850774,FALSE
Final,July,C,In Situ Final July_C18.tif,0,1,0.281710735,22.651776,8018.140836,FALSE
Final,July,C,In Situ Final July_C24.tif,0,1,11.64446612,1152.297643,8743.369805,FALSE
Final,July,C,In Situ Final July_C30.tif,0,1,14.75950192,819.1637261,4730.913306,FALSE
Final,July,C,In Situ Final July_C25.tif,0,1,5.871717853,778.6907552,12483.02881,FALSE
Final,July,C,In Situ Final July_C19.tif,0,1,15.81896131,2820.698024,15010.42229,FALSE
Final,July,C,In Situ Final July_C4.tif,0,1,11.16028473,929.7727078,7401.311403,FALSE
Final,July,C,In Situ Final July_C21.tif,0,1,0.575251003,32.269792,5577.419164,FALSE
Final,July,C,In Situ Final July_C26.2.tif,0,1,0.632083277,36.56284288,5747.934902,FALSE
Final,July,C,In Situ Final July_C20.tif,0,1,7.21522692,937.389817,12054.43743,FALSE
Final,July,C,In Situ Final July_C1.tif,0,1,3.736193777,225.1478669,5800.981406,FALSE
